duid,alpha,beta,type,station,fuel_type,schedule_type,region
GSTONE3,-17.3625295370312,0.33103979951624,Gen,Gladstone,Black Coal,Scheduled,QLD
GSTONE6,1.51714946380127,0.32230582364137,Gen,Gladstone,Black Coal,Scheduled,QLD
GULLRWF1,47.2098073214889,0.542336050259202,Gen,Gullen Range Wind Farm,Wind,Semi-scheduled,NSW
HALLWF1,-208.357586011005,2.85839056619732,Gen,Hallett Wind Farm,Wind,Semi-scheduled,SA
HALLWF2,-212.950855194543,2.9285752162581,Gen,Hallett Wind Farm,Wind,Semi-scheduled,SA
HDWF1,-201.217894790904,2.86595147692933,Gen,Hornsdale Wind Farm,Wind,Semi-scheduled,SA
HDWF2,-201.813786945635,2.86160289725246,Gen,Hornsdale Wind Farm,Wind,Semi-scheduled,SA
HDWF3,-200.795135124736,2.86633900027547,Gen,Hornsdale Wind Farm,Wind,Semi-scheduled,SA
HUMENSW,-21.4308916005172,1.56486667252635,Gen,Hume Hydro,Hydro,Scheduled,NSW
JLA01,-86.9751343526276,2.6455943594183,Gen,Jeeralang A,Gas,Scheduled,VIC
JLA04,-129.358447605186,2.90392813071476,Gen,Jeeralang A,Gas,Scheduled,VIC
JLB01,-124.909359528602,2.90348540221541,Gen,Jeeralang B,Gas,Scheduled,VIC
JLB02,-88.4633660414706,2.67060149512717,Gen,Jeeralang B,Gas,Scheduled,VIC
KAREEYA1,1.7083574057972,0.320251954486166,Gen,Kareeya,Hydro,Scheduled,QLD
KAREEYA2,-4.07765277457104,0.33912902230447,Gen,Kareeya,Hydro,Scheduled,QLD
KAREEYA3,62.437867568214,0.0718401578215288,Gen,Kareeya,Hydro,Scheduled,QLD
KAREEYA4,2.51560595067309,0.332206487828013,Gen,Kareeya,Hydro,Scheduled,QLD
KIATAWF1,-47.9308097470039,2.09018954525924,Gen,Kiata Wind Farm,Wind,Semi-scheduled,VIC
KPP_1,69.4191939101881,0.0595621901204158,Gen,Kogan Creek,Black Coal,Scheduled,QLD
LD01,69.9496415261598,0.207084627232627,Gen,Liddell,Black Coal,Scheduled,NSW
LD02,70.0991847036282,0.19244897797544,Gen,Liddell,Black Coal,Scheduled,NSW
LD03,69.7085358493977,0.207849601393782,Gen,Liddell,Black Coal,Scheduled,NSW
LD04,72.0162172724187,0.205302812489355,Gen,Liddell,Black Coal,Scheduled,NSW
LI_WY_CA,84.8209419633277,0.121853479464715,Gen,Liapootah Wayatinah Catagunya Aggregate,Hydro,Scheduled,TAS
LK_ECHO,110.837617232559,-0.00476527623440384,Gen,Lake Echo,Hydro,Scheduled,TAS
LONSDALE,-78.9094425136079,3.16453202057291,Gen,Lonsdale,Liquid Fuel,Scheduled,SA
LOYYB1,-85.7673684629918,2.63119153532162,Gen,Loy Yang B,Brown Coal,Scheduled,VIC
LOYYB2,-83.8841041053833,2.65691088567738,Gen,Loy Yang B,Brown Coal,Scheduled,VIC
LYA1,-89.9432064671074,2.67908002657556,Gen,Loy Yang A,Brown Coal,Scheduled,VIC
LYA2,-163.388975847547,3.09499551504173,Gen,Loy Yang A,Brown Coal,Scheduled,VIC
LYA3,-26.1003754774483,1.74699186203698,Gen,Loy Yang A,Brown Coal,Scheduled,VIC
LYA4,-91.7757867038934,2.67561310085391,Gen,Loy Yang A,Brown Coal,Scheduled,VIC
MCKAY1,-9.82266200909691,1.48399630018373,Gen,McKay,Hydro,Scheduled,VIC
MEADOWBK,84.2091516284652,0.100636541316939,Gen,Meadowbank,Hydro,Scheduled,TAS
MERCER01,-51.5341370405451,2.04322223763151,Gen,Mt Mercer Wind Farm,Wind,Semi-scheduled,VIC
MEWF1,-12.2765106142538,0.383743694792269,Gen,Mount Emerald Wind Farm,Wind,Semi-scheduled,QLD
MP1,65.6562636733949,0.205640370548099,Gen,Mt Piper,Black Coal,Scheduled,NSW
MP2,67.8623389248855,0.19679678923657,Gen,Mt Piper,Black Coal,Scheduled,NSW
MPP_1,65.0387745851539,0.0676798035456034,Gen,Millmerran,Black Coal,Scheduled,QLD
MPP_2,65.1939278825483,0.0794002113050688,Gen,Millmerran,Black Coal,Scheduled,QLD
MTGELWF1,-85.6759517294957,2.64994317913112,Gen,Mt Gellibrand Wind Farm,Wind,Semi-scheduled,VIC
MUSSELR1,41.2870768581633,0.168336236303028,Gen,Musselroe Wind Farm,Wind,Semi-scheduled,TAS
NBHWF1,-215.378977640203,2.90740803650665,Gen,North Brown Hill Wind Farm,Wind,Semi-scheduled,SA
OAKLAND1,-56.9476541862011,1.98500876740651,Gen,Oaklands Hill Wind Farm,Wind,Semi-scheduled,VIC
POAT110,104.726133955513,0.0948085435880287,Gen,Poatina,Hydro,Scheduled,TAS
POAT220,85.6600311388658,0.119851410532396,Gen,Poatina,Hydro,Scheduled,TAS
PPCCGT,-104.216542410646,2.68666339154919,Gen,Pelican Point,Gas,Scheduled,SA
SALTCRK1,-45.0772678302312,2.05807442632212,Gen,Salt Creek Wind Farm,Wind,Semi-scheduled,VIC
SAPHWF1,72.084139237203,0.0960328310114846,Gen,Sapphire Wind Farm,Wind,Semi-scheduled,NSW
SITHE01,69.3424821221187,0.208941512301478,Gen,Smithfield Energy Facility,Gas,Scheduled,NSW
