duid,profit_lmp,profit_lmp_mc,profit_rrp,profit_lmp_90,profit_lmp_mc_90,profit_rrp_90,type,station,fuel_type,schedule_type,region
JLB01,208292.52818,156949.742676152,206924.92925,187283.938836,135790.824103845,185916.339906,Gen,Jeeralang B,Gas,Scheduled,VIC
JLB02,208292.52818,156949.742676152,206924.92925,187283.938836,135790.824103845,185916.339906,Gen,Jeeralang B,Gas,Scheduled,VIC
JLB03,208292.52818,156949.742676152,206924.92925,187283.938836,135790.824103845,185916.339906,Gen,Jeeralang B,Gas,Scheduled,VIC
KAREEYA1,135748.5518,71391.9593122789,115495.10944,128062.939713,63530.5463752789,105246.192707,Gen,Kareeya,Hydro,Scheduled,QLD
KAREEYA2,135748.5518,71391.9593122789,115495.10944,128062.939713,63530.5463752789,105246.192707,Gen,Kareeya,Hydro,Scheduled,QLD
KAREEYA3,135748.5518,71391.9593122789,115495.10944,128062.939713,63530.5463752789,105246.192707,Gen,Kareeya,Hydro,Scheduled,QLD
KAREEYA4,135748.5518,71391.9593122789,115495.10944,128062.939713,63530.5463752789,105246.192707,Gen,Kareeya,Hydro,Scheduled,QLD
KARSF1,248603.79328,213800.71924,206924.92925,226490.643213,191687.569173,185916.339906,Gen,Karadoc Solar Farm,Solar,Semi-scheduled,VIC
KIATAWF1,239109.6711,224191.326505957,206924.92925,215665.437738,200747.093143957,185916.339906,Gen,Kiata Wind Farm,Wind,Semi-scheduled,VIC
KPP_1,98882.39406,74485.4657427795,115495.10944,90416.216058,66019.2877407795,105246.192707,Gen,Kogan Creek,Black Coal,Scheduled,QLD
KSP1,131832.24538,72733.4832,115495.10944,124132.823101,64859.720071,105246.192707,Gen,Kidston Solar Stage 1,Solar,Semi-scheduled,QLD
LADBROK1,335414.49423,175163.473990941,303604.65897,313521.153397,153122.082776239,282293.884433,Gen,Ladbroke Grove,Gas,Scheduled,SA
LADBROK2,330990.23649,170739.212270941,303604.65897,309539.321829,149140.247228239,282293.884433,Gen,Ladbroke Grove,Gas,Scheduled,SA
LAVNORTH,206924.92925,168165.903659185,206924.92925,185916.339906,147137.442793448,185916.339906,Gen,Laverton,Gas,Scheduled,VIC
LBBG1,296841.47528,195442.33057,303604.65897,276468.794728,175069.650018,282293.884433,Gen,Lake Bonney BESS1,Battery (Discharge),Scheduled,SA
LBBL1,306938.74493,208152.37633,303604.65897,285294.561797,186508.193197,282293.884433,Load,Lake Bonney BESS1,Battery (Charge),Scheduled,SA
LD01,99556.05403,96725.9581917118,99692.23835,88603.929645,85773.8338067119,88703.045594,Gen,Liddell,Black Coal,Scheduled,NSW
LD02,99556.05403,96725.9581917118,99692.23835,88603.929645,85773.8338067119,88703.045594,Gen,Liddell,Black Coal,Scheduled,NSW
LD03,99556.05403,96725.9581917118,99692.23835,88603.929645,85773.8338067119,88703.045594,Gen,Liddell,Black Coal,Scheduled,NSW
LD04,99556.05403,96725.9581917118,99692.23835,88603.929645,85773.8338067119,88703.045594,Gen,Liddell,Black Coal,Scheduled,NSW
LEM_WIL,282361.75079,267552.689785188,293943.94213,254516.411882,239707.350877188,264590.034752,Gen,Lemonthyme,Hydro,Scheduled,TAS
LGAPWF1,347186.01637,203066.276204375,303604.65897,326027.110334,181907.370168375,282293.884433,Gen,Lincoln Gap Wind Farm,Wind,Semi-scheduled,SA
LI_WY_CA,336011.52818,316405.821839515,293943.94213,303266.132085,283659.6904898,264590.034752,Gen,Liapootah Wayatinah Catagunya Aggregate,Hydro,Scheduled,TAS
LILYSF1,141913.81656,72732.25715,115495.10944,134228.243418,64872.343158,105246.192707,Gen,Lilyvale Solar Farm,Solar,Semi-scheduled,QLD
LIMOSF21,99731.27594,99505.59283,99692.23835,88742.083184,88516.400074,88703.045594,Gen,Limondale Solar Farm 2,Solar,Semi-scheduled,NSW
LK_ECHO,320098.75239,296429.992006607,293943.94213,289380.71061,265711.214971892,264590.034752,Gen,Lake Echo,Hydro,Scheduled,TAS
LKBONNY2,362213.15044,201584.721656515,303604.65897,341457.288185,180631.486670474,282293.884433,Gen,Lake Bonney Stage 2,Wind,Semi-scheduled,SA
LKBONNY3,347176.85853,187396.544970951,303604.65897,327840.129867,167862.443576909,282293.884433,Gen,Lake Bonney Stage 3,Wind,Semi-scheduled,SA
LNGS1,209304.86398,170864.870913922,206924.92925,188021.855701,149566.513322711,185916.339906,Gen,Laverton,Gas,Scheduled,VIC
LNGS2,209304.86398,170864.870913922,206924.92925,188021.855701,149566.513322711,185916.339906,Gen,Laverton,Gas,Scheduled,VIC
LONSDALE,303604.65897,116994.488174754,303604.65897,282293.884433,85906.019229926,282293.884433,Gen,Lonsdale,Liquid Fuel,Scheduled,SA
LOYYB1,208292.52818,197564.826357308,206924.92925,187283.938836,176556.237013308,185916.339906,Gen,Loy Yang B,Brown Coal,Scheduled,VIC
LOYYB2,208292.52818,197564.826357308,206924.92925,187283.938836,176556.237013308,185916.339906,Gen,Loy Yang B,Brown Coal,Scheduled,VIC
LYA1,208292.52818,197590.358370116,206924.92925,187283.938836,176581.769026116,185916.339906,Gen,Loy Yang A,Brown Coal,Scheduled,VIC
LYA2,208292.52818,197590.358370116,206924.92925,187283.938836,176581.769026116,185916.339906,Gen,Loy Yang A,Brown Coal,Scheduled,VIC
LYA3,208292.52818,197590.358370116,206924.92925,187283.938836,176581.769026116,185916.339906,Gen,Loy Yang A,Brown Coal,Scheduled,VIC
