duid,station,fuel_type,region,profit_lmp,profit_lmp_mc,profit_rrp,alpha_mc,beta_mc,lat,lon,profit_lmp_percentile,profit_lmp_mc_percentile,alpha_mc_percentile,beta_mc_percentile,commission_2019
LOYYB2,Loy Yang B,Brown Coal,VIC,187283.938836,176556.237013308,185916.339906,0.610350060688008,0.999033315608951,-38.256447,146.58637,57,76,11,92,FALSE
LYA1,Loy Yang A,Brown Coal,VIC,187283.938836,176581.769026116,185916.339906,0.604433714171382,0.999036700440264,-38.2536,146.574569,57,76,9,93,FALSE
LYA2,Loy Yang A,Brown Coal,VIC,187283.938836,176581.769026116,185916.339906,0.604433714171382,0.999036700440264,-38.2536,146.574569,58,76,9,93,FALSE
LYA3,Loy Yang A,Brown Coal,VIC,187283.938836,176581.769026116,185916.339906,0.604433714171382,0.999036700440264,-38.2536,146.574569,58,77,10,93,FALSE
LYA4,Loy Yang A,Brown Coal,VIC,187283.938836,176581.769026116,185916.339906,0.604433714171382,0.999036700440264,-38.2536,146.574569,58,77,10,94,FALSE
MACARTH1,Macarthur Wind Farm,Wind,VIC,193584.467538,177394.444786333,185916.339906,-3.19579561439264,0.99841909680061,-38.0075268429999,142.186510137,64,80,1,89,FALSE
MACKAYGT,Mackay,Liquid Fuel,QLD,128061.506323,-13571.5054218963,105246.192707,493.005792644247,0.00637228694205474,-21.1445659999999,149.159097,38,1,100,1,FALSE
MACKNTSH,Mackintosh,Hydro,TAS,270152.120092,249849.29455285,264590.034752,13.136795715292,0.849541312444172,-41.6997499999999,145.646119,76,96,33,36,FALSE
MANSLR1,Manildra Solar Farm,Solar,NSW,88410.597578,88195.934358,88703.045594,0.0306142437450661,0.999151135252827,,,1,41,4,94,FALSE
MCKAY1,McKay,Hydro,VIC,147262.478095,132811.771736159,185916.339906,43.8170586039092,0.537842153061183,-36.8054609999999,147.228034,47,51,57,26,FALSE
MEADOWBK,Meadowbank,Hydro,TAS,287341.062499,265699.141539497,264590.034752,26.3219669270959,0.723602599516908,-42.6111989999999,146.845676,84,98,48,29,FALSE
MERCER01,Mt Mercer Wind Farm,Wind,VIC,198433.869384,177067.709880606,185916.339906,22.2241051800262,0.757493164764526,-37.841111,143.871111,65,79,41,33,FALSE
MEWF1,Mount Emerald Wind Farm,Wind,QLD,168728.925377,64661.0818174488,105246.192707,52.2979099205327,0.181560763956575,,,49,17,64,14,FALSE
MINTARO,Mintaro,Gas,SA,294663.590991,149145.514317284,282293.884433,60.0786217682088,0.964719506856445,-33.9030999999999,138.7383,87,62,86,58,FALSE
MOREESF1,Moree Solar Farm,Solar,NSW,94973.61616,89426.71055,88703.045594,-0.0922784528642647,0.99093145411875,-29.569,149.867,20,44,2,81,FALSE
MORTLK11,Mortlake,Gas,VIC,192217.21786,143144.011318158,185916.339906,26.8011595737312,0.989001884051621,-38.063169322,142.667478911,64,57,49,79,FALSE
MORTLK12,Mortlake,Gas,VIC,192217.21786,143144.011318158,185916.339906,26.8011595737312,0.989001884051621,-38.063169322,142.667478911,64,58,50,79,FALSE
MP1,Mt Piper,Black Coal,NSW,88419.23576,79970.3631309523,88703.045594,1.59982035017754,0.992887550491579,-33.358892,150.031322,2,32,14,85,FALSE
MP2,Mt Piper,Black Coal,NSW,88419.23576,79970.3631309523,88703.045594,1.59982035017754,0.992887550491579,-33.358892,150.031322,2,32,15,85,FALSE
MPP_1,Millmerran,Black Coal,QLD,92042.944197,69141.960559527,105246.192707,52.2897239255065,0.286226827628783,-27.961542,151.278949,20,26,63,24,FALSE
MPP_2,Millmerran,Black Coal,QLD,92042.944197,69141.960559527,105246.192707,52.2897239255065,0.286226827628783,-27.961542,151.278949,20,26,64,24,FALSE
MSTUART1,Mt Stuart,Liquid Fuel,QLD,128063.639153,-12193.3344760605,105246.192707,460.775796691037,0.0070565759193569,-19.337998,146.851171,40,1,98,1,FALSE
MSTUART2,Mt Stuart,Liquid Fuel,QLD,128063.639153,-12193.3344760605,105246.192707,460.775796691037,0.0070565759193569,-19.337998,146.851171,40,1,99,1,FALSE
MSTUART3,Mt Stuart,Liquid Fuel,QLD,128063.639153,-12193.3344760605,105246.192707,460.775796691037,0.0070565759193569,-19.337998,146.851171,41,2,99,2,FALSE
MTGELWF1,Mt Gellibrand Wind Farm,Wind,VIC,187806.281717,178245.555198804,185916.339906,0.746398119799516,0.999298089213375,,,62,81,11,96,FALSE
MURRAY,Murray,Hydro,VIC,119664.019179,105938.9464488,185916.339906,70.1501677472586,0.222577824685377,-36.2467129999999,148.190095,31,48,93,19,FALSE
