duid,alpha,beta,type,station,fuel_type,schedule_type,region
YARWUN_1,-5.37468482562952e-12,1.00000000000007,Gen,Yarwun,Gas,Scheduled,QLD
AGLHAL,-9.81918222038142,0.988845717964325,Gen,Hallett,Gas,Scheduled,SA
ANGAST1,0.590479672894611,1.0006390168719,Gen,Angaston,Liquid Fuel,Scheduled,SA
BARKIPS1,3.17431803167138e-11,0.999999999999679,Gen,Barker Inlet Power Station,Gas,Scheduled,SA
BLUFF1,-88.2548800540282,1.01675569010781,Gen,The Bluff Wind Farm,Wind,Semi-scheduled,SA
BNGSF1,-27.4036964951478,1.0056390206102,Gen,Bungala One Solar Farm,Solar,Semi-scheduled,SA
BNGSF2,-27.1307051645679,1.00577062860091,Gen,Bungala Two Solar Farm,Solar,Semi-scheduled,SA
CLEMGPWF,-78.1400243611066,1.01515907205654,Gen,Clements Gap Wind Farm,Wind,Semi-scheduled,SA
DALNTH01,-7.47336036680921,1.00134660490623,Gen,Dalrymple North BESS,Battery (Discharge),Scheduled,SA
DALNTHL1,9.73405134813448,0.998117389274868,Load,Dalrymple North BESS,Battery (Charge),Scheduled,SA
DRYCGT1,3.17431803167138e-11,0.999999999999679,Gen,Dry Creek,Gas,Scheduled,SA
DRYCGT2,3.17431803167138e-11,0.999999999999679,Gen,Dry Creek,Gas,Scheduled,SA
DRYCGT3,3.17431803167138e-11,0.999999999999679,Gen,Dry Creek,Gas,Scheduled,SA
HALLWF1,-91.0241529614777,1.00358183089931,Gen,Hallett Wind Farm,Wind,Semi-scheduled,SA
HALLWF2,-96.52257018593,1.01643533681655,Gen,Hallett Wind Farm,Wind,Semi-scheduled,SA
HDWF1,-83.8294576553494,1.00331294856368,Gen,Hornsdale Wind Farm,Wind,Semi-scheduled,SA
HDWF2,-83.819170336662,1.00331120293728,Gen,Hornsdale Wind Farm,Wind,Semi-scheduled,SA
HDWF3,-83.819170336662,1.00331120293728,Gen,Hornsdale Wind Farm,Wind,Semi-scheduled,SA
HPRG1,-4.76896296296457,0.922635186200053,Gen,Hornsdale Power Reserve,Battery (Discharge),Scheduled,SA
HPRL1,11.1168083908922,1.00091183182373,Load,Hornsdale Power Reserve,Battery (Charge),Scheduled,SA
LADBROK1,-11.210646051456,0.925795422824407,Gen,Ladbroke Grove,Gas,Scheduled,SA
LADBROK2,-12.4729887296966,0.923493507382185,Gen,Ladbroke Grove,Gas,Scheduled,SA
LBBG1,7.87303873369482,0.900248823019769,Gen,Lake Bonney BESS1,Battery (Discharge),Scheduled,SA
LBBL1,0.455243629731473,1.00146312755971,Load,Lake Bonney BESS1,Battery (Charge),Scheduled,SA
LGAPWF1,-77.6908451433229,1.01495601162211,Gen,Lincoln Gap Wind Farm,Wind,Semi-scheduled,SA
LKBONNY2,-86.5741886676372,0.908299988697154,Gen,Lake Bonney Stage 2,Wind,Semi-scheduled,SA
LKBONNY3,-86.7151442308231,0.90830886450628,Gen,Lake Bonney Stage 3,Wind,Semi-scheduled,SA
LONSDALE,3.17431803167138e-11,0.999999999999679,Gen,Lonsdale,Liquid Fuel,Scheduled,SA
MINTARO,-2.49710391062949,1.00071053225379,Gen,Mintaro,Gas,Scheduled,SA
NBHWF1,-88.5283725324371,1.01690237086639,Gen,North Brown Hill Wind Farm,Wind,Semi-scheduled,SA
NPS1,3.17431803167138e-11,0.999999999999679,Gen,Northern,Brown Coal,Scheduled,SA
NPS2,3.17431803167138e-11,0.999999999999679,Gen,Northern,Brown Coal,Scheduled,SA
OSB-AG,2.30342654613663,1.00099440114587,Gen,Osborne,Gas,Scheduled,SA
PLAYB-AG,3.17431803167138e-11,0.999999999999679,Gen,Playford,Brown Coal,Scheduled,SA
POR01,9.49118438763588,0.954621796106406,Gen,Port Lincoln,Liquid Fuel,Scheduled,SA
POR03,-4.25346825922527,0.956179864016929,Gen,Port Lincoln,Liquid Fuel,Scheduled,SA
PPCCGT,-0.611136675039955,0.999924023354416,Gen,Pelican Point,Gas,Scheduled,SA
PTSTAN1,3.17431803167138e-11,0.999999999999679,Gen,Pt Stanvac,Liquid Fuel,Scheduled,SA
QPS1,-1.24939028659687,0.999190783897951,Gen,Quarantine,Gas,Scheduled,SA
QPS2,-1.24939028659687,0.999190783897951,Gen,Quarantine,Gas,Scheduled,SA
QPS3,-1.24939028659687,0.999190783897951,Gen,Quarantine,Gas,Scheduled,SA
QPS4,-1.24939028659687,0.999190783897951,Gen,Quarantine,Gas,Scheduled,SA
QPS5,-1.24939028659687,0.999190783897951,Gen,Quarantine,Gas,Scheduled,SA
